1,1,CRE0
2,2,CRE1
3,3,CRE2
4,4,CRE3
5,5,CRE4
6,6,CRE5
7,7,CRE6
8,8,CRE7
9,9,CRE8
10,10,CRE9
11,11,CRE10
12,12,CRE11
13,13,CRE12
14,14,CRE13
15,15,CRE14
16,16,CRE15
17,17,CRE16
18,18,CRE17
19,19,CRE18
20,20,CRE19
21,21,CRE20
22,22,CRE21
23,23,CRE22
24,24,CRE23
25,25,CRE24
26,26,CRE25
27,27,CRE26
28,28,CRE27
29,29,CRE28
30,30,CRE29
31,31,CRE30
32,32,CRE31
33,33,CRE32
34,34,CRE33
35,35,CRE34
36,36,CRE35
37,37,CRE36
38,38,CRE37
39,39,CRE38
40,40,CRE39
41,41,CRE40
42,42,CRE41
43,43,CRE42
44,44,CRE43
45,45,CRE44
46,46,CRE45
47,47,CRE46
48,48,CRE47
49,49,CRE48
50,50,CRE49
51,51,CRE50
52,52,CRE51
53,53,CRE52
54,54,CRE53
55,55,CRE54
56,56,CRE55
57,57,CRE56
58,58,CRE57
59,59,CRE58
60,60,CRE59
61,61,CRE60
62,62,CRE61
63,63,CRE62
64,64,CRE63
65,65,CRE64
66,66,CRE65
67,67,CRE66
68,68,CRE67
69,69,CRE68
70,70,CRE69
72,71,CRE71
73,72,CRE72
74,73,CRE73
75,74,CRE74
76,75,CRE75
77,76,CRE76
78,77,CRE77
79,78,CRE78
80,79,CRE79
81,80,CRE80
82,81,CRE81
83,82,CRE82
84,83,CRE83
85,84,CRE84
86,85,CRE85
87,86,CRE86
88,87,CRE87
89,88,CRE88
90,89,CRE89
91,90,CRE90
92,91,CRE91
93,92,CRE92
94,93,CRE93
95,94,CRE94
96,95,CRE95
97,96,CRE96
98,97,CRE97
99,98,CRE98
100,99,CRE99
101,100,CRE100
102,101,CRE101
103,102,CRE102
104,103,CRE103
105,104,CRE104
106,105,CRE105
107,106,CRE106
108,107,CRE107
109,108,CRE108
110,109,CRE109
111,110,CRE110
112,111,CRE111
113,112,CRE112
114,113,CRE113
115,114,CRE114
116,115,CRE115
117,116,CRE116
118,117,CRE117
119,118,CRE118
120,119,CRE119
121,120,CRE120
122,121,CRE121
123,122,CRE122
124,123,CRE123
125,124,CRE124
126,125,CRE125
128,126,CRE127
129,127,CRE128
130,128,CRE129
131,129,CRE130
132,130,CRE131
133,131,CRE132
134,132,CRE133
135,133,CRE134
136,134,CRE135
137,135,CRE136
138,136,CRE137
139,137,CRE138
140,138,CRE139
141,139,CRE140
148,140,CRE147
152,141,CRE151
163,142,CRE162
164,143,CRE163
166,144,CRE165
167,145,CRE166
168,146,CRE167
169,147,CRE168
172,148,CRE171
173,149,CRE172
175,150,CRE174
176,151,CRE175
177,152,CRE176
178,153,CRE177
179,154,CRE178
180,155,CRE179
181,156,CRE180
182,157,CRE181
183,158,CRE182
184,159,CRE183
185,160,CRE184
186,161,CRE185
187,162,CRE186
188,163,CRE187
189,164,CRE188
190,165,CRE189
191,166,CRE190
192,167,CRE191
193,168,CRE192
194,169,CRE193
195,170,CRE194
196,171,CRE195
197,172,CRE196
198,173,CRE197
199,174,CRE198
200,175,CRE199
201,176,CRE200
202,177,CRE201
203,178,CRE202
204,179,CRE203
205,180,CRE204
206,181,CRE205
207,182,CRE206
208,183,CRE207
209,184,CRE208
210,185,CRE209
211,186,CRE210
212,187,CRE211
213,188,CRE212
214,189,CRE213
215,190,CRE214
216,191,CRE215
217,192,CRE216
218,193,CRE217
219,194,CRE218
220,195,CRE219
221,196,CRE220
222,197,CRE221
223,198,CRE222
224,199,CRE223
225,200,CRE224
226,201,CRE225
227,202,CRE226
228,203,CRE227
229,204,CRE228
230,205,CRE229
231,206,CRE230
232,207,CRE231
233,208,CRE232
234,209,CRE233
235,210,CRE234
236,211,CRE235
237,212,CRE236
238,213,CRE237
239,214,CRE238
