1,1,Kas Rupiah,Kas Rupiah,false,1
2,2,Kas USD,Kas USD,false,2
3,3,Kas EUR,Kas EUR,false,3
4,4,PANIN IDR AST,PANIN IDR AST,true,1
5,5,PANIN EUR AST,PANIN EUR AST,true,3
6,6,PANIN USD AST,PANIN USD AST,true,2
7,7,BCA IDR AST,BCA IDR AST,true,1
8,8,KASBON,KASBON,false,1
