1,PurchaseInvoice,2014-12-09
4,PurchaseInvoice,2014-12-09
5,PurchaseInvoice,2014-12-09
7,PurchaseInvoice,2015-01-06
8,PurchaseInvoice,2014-12-18
9,PurchaseInvoice,2014-12-23
10,PurchaseInvoice,2014-12-03
