Id,BlanketOrderId,BlanketId,RollBlanketUsage,RollBlanketDefect,TotalCost,BarCost,AdhesiveCost,RollBlanketCost,IsCut,IsSideSealed,IsBarPrepared,IsAdhesiveTapeApplied,IsBarMounted,IsBarHeatPressed,IsBarPullOffTested,IsQCAndMarked,IsPackaged,IsRejected,RejectedDate,IsJobScheduled,IsFinished,FinishedDate,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
46,41,5007,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-02 03:24:40,,
47,44,5008,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-02 03:30:32,,
48,45,4981,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-02 03:34:15,,
49,47,1366,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-02 03:42:53,,
50,48,5009,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-02 04:19:25,,
51,49,5010,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-02 04:22:11,,2015-01-17 11:21:37
52,50,5011,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-02 04:52:39,,
53,51,1273,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,False,,False,False,,True,2015-01-09 11:44:49,2015-01-09 14:44:22,
54,46,5006,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-09 11:51:47,,2015-04-27 21:03:25
55,51,1273,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-09 11:56:25,,2015-01-09 13:20:19
56,51,1273,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,False,,False,False,,True,2015-01-09 14:01:41,2015-01-09 14:44:17,
57,20,4997,0.6,0,0,0,0,0,True,True,True,True,True,True,True,True,True,False,,False,False,,False,2015-01-16 16:10:48,2015-01-16 16:14:30,
58,3,1122,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 08:58:11,,
59,3,1122,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 08:58:18,,
60,3,1122,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 08:58:24,,
61,3,1122,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 08:58:39,,
62,3,1122,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 08:58:58,,
63,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:06:23,,
64,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:15:57,,
65,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:16:24,,
66,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:17:03,,
67,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:17:16,,
68,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:17:37,,
69,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:17:43,,
70,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:17:50,,
71,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:17:58,,
72,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:18:05,,
73,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:18:40,,
74,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:18:58,,
75,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:19:33,,
76,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:19:40,,
77,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:19:45,,
78,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:19:50,,
79,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:19:56,,
80,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:20:03,,
81,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:20:08,,
82,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:20:14,,2015-01-17 09:20:58
83,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:20:35,,2015-01-17 09:20:53
84,4,1129,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,True,2015-01-17 09:25:41,,2015-01-17 09:26:00
85,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:33:19,,
86,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:33:30,,
87,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:33:38,,
88,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:33:53,,
89,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:33:59,,
90,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:34:03,,
91,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:34:08,,
92,5,1433,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,,False,False,,False,2015-01-17 09:34:12,,
